variant,N,h,T,dt,final_time,L1,L2,Linf,tempo_s
baseline,128,0.007874015748031496,6,0.00013950027900055798,0.0008370016740033479,5.7051022569852453e-08,7.0945317017202858e-08,1.4298600703455122e-07,3.3436999999999999e-05
adaptive,128,0.007874015748031496,6,0.00013950027900055798,0.0008370016740033479,5.7336874047417671e-08,7.1314740938644719e-08,1.4978046488244615e-07,6.9258999999999995e-05
baseline,256,0.0039215686274509803,25,3.460207612456747e-05,0.00086505190311418677,1.4739485482123116e-08,1.8255883402692543e-08,3.6653559409849379e-08,0.000613555
adaptive,256,0.0039215686274509803,25,3.460207612456747e-05,0.00086505190311418677,1.4800467706664869e-08,1.8336475096984649e-08,3.9345512731307836e-08,0.00064589400000000005
baseline,512,0.0019569471624266144,100,8.6166949421915494e-06,0.00086166949421915499,3.6704607864174694e-09,4.5371396130466899e-09,9.0919513029419363e-09,0.0098983319999999993
adaptive,512,0.0019569471624266144,100,8.6166949421915494e-06,0.00086166949421915499,3.6786570789433731e-09,4.5478183352683629e-09,9.3473081966568535e-09,0.0070828319999999998
baseline,1024,0.00097751710654936461,401,2.1499643105924442e-06,0.00086213568854757007,9.1810909937628045e-10,1.1337806881225192e-09,2.2697728141451989e-09,0.57205457199999998
adaptive,1024,0.00097751710654936461,401,2.1499643105924442e-06,0.00086213568854757007,9.1963454767966549e-10,1.1357783210845572e-09,2.3279450878042961e-09,0.55994220699999997
baseline,2048,0.00048851978505129456,1605,5.3696605586976679e-07,0.00086183051967097569,2.2944606224080332e-10,2.8320612576114648e-10,5.6668936210257925e-10,11.01030321
adaptive,2048,0.00048851978505129456,1605,5.3696605586976679e-07,0.00086183051967097569,2.296530976444446e-10,2.8347586178413599e-10,5.7461474595103135e-10,11.213052661000001
